Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap_Minus_50,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est
2007679981.0,AUB,2024-10-21,1300000.0,3304323.27,0.3934239763411526,Market Model,2024-10-21,-0.07863464,-0.079583156,-0.078850934,250.0
2007738409.0,PSN,2024-10-21,230000.0,9737445.9,0.0236201569037728,Market Model,2024-10-21,-0.007850744,-0.012641025,-0.012626436,250.0
2007753060.0,LYEL,2024-10-24,61130.0,350724.11,0.1742965432288074,Market Model,2024-10-24,-0.193913043,-0.182185282,-0.174317279,250.0
2007747465.0,ABBV,2024-10-28,1400000.0,341518871.2,0.0040993342332176,Market Model,2024-10-28,-0.001054574,-0.005156132,-0.005254295,250.0
2007750279.0,AKR,2024-10-29,275000.0,2250608.46,0.1221891790098398,Market Model,2024-10-29,0.0241566014,0.0189188076,0.0188101499,250.0
2007749872.0,SXI,2024-10-29,462000.0,2028403.89,0.2277652898802122,Market Model,2024-10-29,0.0694585735,0.0669990898,0.0683424431,250.0
2007750218.0,THRY,2024-10-29,80000.0,644378.25,0.1241506832361272,Market Model,2024-10-29,-0.186006826,-0.174336118,-0.1833658,250.0
2007753662.0,NRIM,2024-10-31,56000.0,353613.54,0.1583649766352272,Market Model,2024-10-31,-0.022252293,-0.007258768,-0.007055972,250.0
2007752853.0,WCC,2024-10-31,185000.0,8020658.4,0.0230654381191449,Market Model,2024-10-31,0.0582049263,0.0962084464,0.0947229075,250.0
2007753654.0,CELH,2024-11-01,75000.0,9621047.04,0.007795409344553,Market Model,2024-11-01,0.0123818833,0.0455530835,0.0442889273,250.0
2007755118.0,MPB,2024-11-01,127000.0,466987.12,0.2719561087680534,Market Model,2024-11-01,-0.027289837,-0.011290571,-0.011608313,250.0
2007753980.0,CECO,2024-11-01,125000.0,962825.94,0.1298261656722709,Market Model,2024-11-01,-0.074827166,-0.061257724,-0.059235346,250.0
2007763426.0,BWXT,2024-11-04,100000.0,9203972.21,0.0108648741780588,Market Model,2024-11-04,-0.039425051,-0.054313585,-0.054117631,250.0
2007757248.0,TDY,2024-11-04,57300.0,19544016.0,0.0029318436906723,Market Model,2024-11-04,0.0088948432,-0.000923314,-0.00090491,250.0
2007758661.0,TEM,2024-11-04,600000.0,9632715.75,0.0622877302281031,,,,,,
