,Deal Number,Acquiror name,Acquiror country code,Target name,Target country code,Deal type,Deal status,Deal value th USD,Last deal status date,Acquired stake (%),Initial stake (%),Final stake (%),Target primary NAICS 2017 code,Acquiror primary NAICS 2017 code,Acquiror ticker symbol,Target ticker symbol,Announced date,Deal method of payment,Target listed,Deal method of payment value th USD
30.,1941187656,TRUIST FINANCIAL CORPORATION,US,SUNTRUST BANKS INC.,US,Acquisition 100%,Completed,"28,085,123.00",06.12.2019,100.00000,0.00000,100.00000,522110,551111,TFC,STI,07.02.2019,Shares,Delisted,"28,085,123"
31.,1941652248,CISCO SYSTEMS INC.,US,SPLUNK INC.,US,Acquisition 100%,Completed,"28,000,000.00",18.03.2024,100.00000,0.00000,100.00000,518210,334210,CSCO,SPLK,21.09.2023,Cash,Delisted,"28,000,000"
32.,1941467539,SALESFORCE.COM INC.,US,SLACK TECHNOLOGIES INC.,US,Acquisition 100%,Completed,"27,700,000.00",21.07.2021,100.00000,0.00000,100.00000,518210,518210,CRM,WORK,01.12.2020,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Cash,,n.a.
,,,,,,,,,,,,,,,,,,Cash Reserves,,n.a.
33.,1939074315,INTERNATIONAL FLAVORS & FRAGRANCES INC.,US,NUTRITION & BIOSCIENCES INC.,US,Acquisition 100%,Completed,"26,200,000.00",01.02.2021,100.00000,0.00000,100.00000,325199,311930,IFF,,15.12.2019,Shares,Unlisted,"18,900,000"
,,,,,,,,,,,,,,,,,,Cash,,"7,300,000"
34.,2007375724,DIAMONDBACK ENERGY INC.,US,ENDEAVOR PARENT LLC,US,Acquisition 100%,Completed,"26,000,000.00",10.09.2024,100.00000,0.00000,100.00000,213112,211120,FANG,,12.02.2024,Liabilities,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"17,799,102"
,,,,,,,,,,,,,,,,,,Cash,,"7,100,000"
35.,2007098440,GLOBAL PAYMENTS INC.,US,WORLDPAY HOLDCO LLC,US,Acquisition 100%,Completed,"24,250,000.00",09.01.2026,100.00000,0.00000,100.00000,522320,522320,GPN,,17.04.2025,Shares,Unlisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,n.a.
,,,,,,,,,,,,,,,,,,Cash,,"6,200,000"
36.,2008639915,ABBOTT LABORATORIES INC.,US,EXACT SCIENCES CORPORATION,US,Acquisition 100%,Completed,"23,000,000.00",23.03.2026,100.00000,0.00000,100.00000,541713,325412,ABT,EXAS,20.11.2025,Liabilities,Delisted,"1,800,000"
,,,,,,,,,,,,,,,,,,Cash,,"21,000,000"
37.,1941687962,COMPTON MERGER SUB LLC,US,DUKE REALTY CORPORATION,US,Acquisition 100%,Completed,"23,000,000.00",03.10.2022,100.00000,0.00000,100.00000,531120,525990,,DRE,13.06.2022,Liabilities,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Shares,,"23,000,000"
38.,2007561604,CONOCOPHILLIPS COMPANY,US,MARATHON OIL CORPORATION,US,Acquisition 100%,Completed,"22,500,000.00",22.11.2024,100.00000,0.00000,100.00000,211120,211120,COP,MRO,29.05.2024,Shares,Delisted,n.a.
,,,,,,,,,,,,,,,,,,Liabilities,,"5,400,000"
39.,1941300705,AMERICANO ACQUISITION CORPORATION,US,TD AMERITRADE HOLDING CORPORATION,US,Acquisition 100%,Completed,"22,000,000.00",06.10.2020,100.00000,0.00000,100.00000,523120,523120,,AMTD,25.11.2019,Shares,Delisted,"22,000,000"
40.,1941237629,GLOBAL PAYMENTS INC.,US,TOTAL SYSTEM SERVICES INC.,US,Acquisition 100%,Completed,"21,500,000.00",17.09.2019,100.00000,0.00000,100.00000,522320,522320,GPN,,28.05.2019,Shares,Unlisted,"21,500,000"
41.,2007076123,ZUFFA PARENT LLC,US,WORLD WRESTLING ENTERTAINMENT LLC,US,Acquisition 100%,Completed,"21,400,000.00",12.09.2023,100.00000,0.00000,100.00000,711320,813990,,,02.04.2023,Shares,Unlisted,"21,400,000"
