Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size,cret,car,bhar,nrets_est
2007029740.0,CMAX,2022-06-01,135000.0,408882.24,0.3301684123037479,Market Model,2022-06-01,0.0,0,1,12.92118247180712,-0.125195618,0.0329147501,-0.044752582,250
1941741453.0,EXR,2022-06-01,180392.0,23928696.0,0.0075387309028456,Market Model,2022-06-01,0.1219566277883719,0,1,16.99058896613068,-0.059251162,-0.089333706,-0.097328564,250
1941698817.0,HAYW,2022-06-02,55000.0,3528605.14,0.0155868956196101,Market Model,2022-06-02,0.0,0,0,15.076413206343409,0.0717639168,0.1213926037,0.121547042,238
1941699508.0,WOR,2022-06-02,80000.0,2340115.08,0.034186352920729,Market Model,2022-06-02,0.0,0,1,14.665710665611792,-0.068670424,-0.008818476,-0.010139606,250
1941698920.0,BMY,2022-06-03,4100000.0,159828834.48,0.025652442585465,Market Model,2022-06-03,0.0,1,0,18.889614016070233,-0.01598742,-0.002655287,-0.003351813,250
1941698725.0,BDX,2022-06-06,1525000.0,71933302.1,0.0212001945619009,Market Model,2022-06-06,0.0,0,0,18.091249887921773,-0.06533808,-0.067763259,-0.068141806,250
1941702316.0,CHH,2022-06-13,673155.0,6709688.7,0.1003258169041434,Market Model,2022-06-13,0.0,0,1,15.719063114429032,-0.084583466,-0.073996967,-0.072191055,250
1941705401.0,MDLZ,2022-06-20,2900000.0,81374731.2,0.0356375985178062,Market Model,2022-06-21,0.0,0,1,18.214575355261747,0.0099819997,0.0062354676,0.0044158243,250
1941706111.0,FBNC,2022-06-21,181100.0,1231005.6,0.1471154964689031,Market Model,2022-06-21,1.0,0,1,14.023341954303278,-0.023875625,0.0012764799,0.0014217681,250
1941727877.0,ONEW,2022-06-22,125000.0,454517.28,0.2750170466566199,Market Model,2022-06-22,0.0,1,0,13.026991211678917,0.0369352869,0.059590763,0.057324694,250
1941708056.0,PRIM,2022-06-27,470000.0,1259121.3,0.3732761887198635,Market Model,2022-06-27,0.0,0,1,14.045924654692069,-0.100261047,-0.042672616,-0.043925635,250
1941708895.0,ESTE,2022-06-28,627000.0,1161070.56,0.540018859835702,Market Model,2022-06-28,0.0829346092503987,0,1,13.96485303402709,-0.348214286,-0.374057993,-0.345237296,250
1941711492.0,REI,2022-07-05,432580.0,281690.64,1.5356562788170738,Market Model,2022-07-05,0.530953812011651,0,1,12.54856472647538,-0.469432314,-0.567781861,-0.436417561,250
1941722014.0,HUBB,2022-07-08,128000.0,10002410.4,0.0127969154315043,Market Model,2022-07-08,0.0,0,1,16.118336661912846,-0.06796641,0.0043968775,0.0013710469,250
2007094759.0,RARE,2022-07-18,105000.0,4533147.5,0.0231627142068507,Market Model,2022-07-18,0.0,0,1,15.32692706855089,0.0043383948,0.0039641113,-0.015327942,250
1941716626.0,CCF,2022-07-18,250000.0,824655.21,0.3031570006087756,Market Model,2022-07-18,0.0,0,1,13.622720650688148,0.194338179,0.1818034788,0.1922361317,250
2007426122.0,KMI,2022-07-19,355000.0,38388317.89,0.0092476049879871,Market Model,2022-07-19,0.0,0,0,17.46326374965859,0.0778443114,0.0232436173,0.0209224157,250
2007418227.0,AN,2022-07-21,85000.0,7126148.5,0.011927901867327,Market Model,2022-07-21,0.0,0,0,15.779281464111252,0.0530092385,-0.033011389,-0.042857834,250
1941711252.0,AMZN,2022-07-21,3900000.0,1250726127.35,0.0031181886383577,Market Model,2022-07-21,0.0,1,0,20.946990121482436,0.1251380199,0.0325074855,0.0287984359,250
1941719996.0,DNA,2022-07-24,300000.0,3193087.16,0.0939529630628686,Market Model,2022-07-25,1.0,0,1,14.97649876853701,-0.023809524,-0.068626947,-0.102646939,248
1941720075.0,MTZ,2022-07-25,1100000.0,5504268.0,0.1998449203418147,Market Model,2022-07-25,0.0089090909090909,1,1,15.521034349270373,0.1098011364,0.0449071697,0.0414430383,250
1941719605.0,CDNS,2022-07-25,500000.0,45930737.7,0.0108859562253449,Market Model,2022-07-25,0.0,0,0,17.642645117570773,0.224943731,0.0693601886,0.081963478,250
1941721888.0,FBMS,2022-07-27,207000.0,609300.72,0.339733719664733,Market Model,2022-07-27,1.0,0,1,13.320067217919789,0.0040983607,-0.029482069,-0.033996341,250
1941724116.0,NGVT,2022-07-31,325000.0,2600192.1,0.1249907651053935,Market Model,2022-08-01,0.0,0,1,14.77109588487776,0.0913842255,-0.001786101,-0.005748254,250
1941723279.0,GPN,2022-08-01,4000000.0,34437972.8,0.1161508554301431,Market Model,2022-08-01,0.0,1,0,17.35467037400276,0.1689262473,0.0989159014,0.1078045097,250
1941724065.0,BWA,2022-08-03,185000.0,9238012.0,0.0200259536359121,Market Model,2022-08-03,0.0,0,1,16.038837268954307,0.1610320285,0.0736156509,0.0780492443,250
1941725334.0,AMGN,2022-08-04,3700000.0,132202847.34,0.02798729433175,Market Model,2022-08-04,0.0,1,0,18.699848023273972,0.0126401631,-0.030415523,-0.031979289,250
1941725968.0,WHR,2022-08-08,3000000.0,9467788.92,0.3168638449113206,Market Model,2022-08-08,0.0,0,1,16.063405955324402,0.0594490392,-0.021867522,-0.027917011,250
2007158966.0,EVRG,2022-08-09,250000.0,15751369.92,0.0158716353732869,Market Model,2022-08-09,0.0,0,1,16.57243789850108,0.0962130542,0.0521937804,0.054553694,250
1941727336.0,DVN,2022-08-09,1800000.0,37963200.0,0.0474143380958401,Market Model,2022-08-09,0.0,0,1,17.4521278274154,0.1924231058,-0.053689659,-0.080374782,250
1941727333.0,SFT,2022-08-09,120958.0,129782.25,0.932007266016732,Market Model,2022-08-09,1.0,0,0,11.773613325056775,0.125,0.0235488883,-0.030543021,250
1941727930.0,CTLT,2022-08-09,475000.0,19720598.52,0.024086490048376,Market Model,2022-08-09,0.0,0,1,16.797174257590964,-0.014170954,-0.123903673,-0.136093115,250
2007115391.0,SAFE,2022-08-11,50328.0,2691379.9,0.0186997012201807,Market Model,2022-08-11,1.0,1,0,14.805564594029544,0.1424916859,0.0381079443,0.0380287453,250
1941730172.0,NVTS,2022-08-15,271313.0,739121.88,0.3670747779784303,Market Model,2022-08-15,0.0,0,1,13.513218111906712,0.3771712159,0.2934209985,0.2522852076,250
1941731686.0,DORM,2022-08-18,590000.0,3344993.44,0.1763830065986616,Market Model,2022-08-18,0.0,0,0,15.02297529040652,-0.145127489,-0.187650528,-0.185486687,250
1941733528.0,TOWN,2022-08-18,56000.0,2254398.54,0.0248403283653652,Market Model,2022-08-18,1.0,0,1,14.628393772503916,0.039957939,-0.003036914,-0.003725652,250
1941732931.0,EBAY,2022-08-22,295000.0,25858751.76,0.0114081299336468,Market Model,2022-08-22,0.0,0,0,17.068159661001463,-0.047557841,-0.0545534,-0.058097294,250
2007006338.0,TFX,2022-08-22,300000.0,11358242.0,0.026412538137504,Market Model,2022-08-22,0.0,0,1,16.24545420576059,-0.161989362,-0.156083748,-0.147937345,250
2007091949.0,HBT,2022-08-23,120482.0,540419.32,0.2229416964589645,Market Model,2022-08-23,0.0,0,1,13.200100635724455,0.0696102534,0.0623217589,0.0620088238,250
1941733467.0,ROCK,2022-08-23,54000.0,1409343.68,0.0383157073510983,Market Model,2022-08-23,0.0,0,1,14.158634678809848,-0.017452403,0.0372074541,0.0320198126,250
1941735842.0,FCF,2022-08-30,131373.0,1332699.21,0.0985766323070004,Market Model,2022-08-30,1.0,0,1,14.10271692478607,-0.102394846,-0.080754,-0.076971095,250
1941736488.0,HPP,2022-08-31,360000.0,1945206.25,0.1850703492238933,Market Model,2022-08-31,0.0,0,1,14.480878570543826,-0.027510316,0.0166728351,0.0114996927,250
1941738875.0,WMB,2022-08-31,423000.0,41802171.84,0.0101190914581915,Market Model,2022-08-31,0.0,0,1,17.548458854039957,-0.013237979,-0.044619393,-0.047546351,250
1941737803.0,EQT,2022-09-06,4610663.0,17491566.96,0.263593479677592,Market Model,2022-09-06,0.4794674865632122,0,1,16.677229434748405,0.1372714971,0.0831013058,0.0814078498,250
