Deal Number,Acquiror ticker symbol,Announced date,Deal value th USD,DlyCap,Relative_Size,Model,evtdate,cret,car,bhar,nrets_est,Percent_Stock,Public_Target,Same_Industry,Log_Acq_Size
2007753080.0,PRGS,2024-09-09,875000.0,2473127.35,0.3538030502149434,Market Model,2024-09-09,-0.001040222,0.0047156882,0.0042322849,250.0,0.0,0,0,14.720994041336183
2007685466.0,NBTB,2024-09-09,236000.0,2183073.88,0.108104449493024,Market Model,2024-09-09,-0.046072187,-0.044423224,-0.04357934,250.0,1.0,1,0,14.596244478294269
2007687201.0,CAC,2024-09-10,86600.0,552392.5,0.1567725847110523,Market Model,2024-09-10,0.0037056644,-0.021488377,-0.021694931,250.0,1.0,0,1,13.222014123307074
2007688981.0,VOYA,2024-09-11,210000.0,6955369.02,0.0301925029996467,Market Model,2024-09-11,0.070322489,0.0546618142,0.0552321543,250.0,0.0,0,1,15.75502444016363
2007690415.0,MA,2024-09-12,2650000.0,447519975.98,0.0059215233782512,Market Model,2024-09-12,0.0109421745,-0.007010766,-0.007092703,250.0,0.0,0,0,19.919231733744343
2007690465.0,GEVO,2024-09-12,210000.0,177543.8,1.1828067214963294,Market Model,2024-09-12,0.6839378238,0.5285114935,0.6318866092,250.0,0.0,0,1,12.086972618020608
2007690067.0,SSNC,2024-09-12,670000.0,17873938.6,0.0374847432898756,Market Model,2024-09-12,0.0178401198,-0.004199766,-0.004405933,250.0,0.0,0,1,16.698854265760364
2007694671.0,EVER,2024-09-16,261000.0,711448.0,0.3668574512824549,Market Model,2024-09-16,0.0045085663,-0.022100159,-0.023273211,250.0,0.0,0,1,13.47505760880958
2007753914.0,MMSI,2024-09-17,210000.0,5799944.76,0.0362072413944852,Market Model,2024-09-17,0.0265183028,0.0273171097,0.0269592631,250.0,0.0,0,1,15.573358951333361
2007748575.0,OGN,2024-09-18,1486000.0,5291070.15,0.2808505572355717,Market Model,2024-09-18,-0.033524904,-0.052027601,-0.051978246,250.0,0.0,0,1,15.481531080161636
2007704228.0,TOWN,2024-09-24,120000.0,2536588.6,0.0473076319904615,Market Model,2024-09-24,-0.035682948,-0.038645258,-0.038209509,250.0,0.0,1,1,14.746330665400526
